Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Prosthodontists,"Diagnose, treat, rehabilitate, design, and fit prostheses that maintain oral function, health, and appearance for patients with clinical conditions associated with teeth, oral and maxillofacial tissues, or the jaw.",3.0,4.0,3.75,3.0,4.0,1.88,2.0,1.25,3.12,3.38,2.88,2.0,2.12,3.0,2.0,3.62,2.75,2.12,2.88,2.62,2.88,1.75,2.5,3.62,1.88,3.0,3.12,3.62,4.0,2.75,2.75,2.0,3.25,2.12,3.38,3.37,2.86,3.21,1.41,2.56,2.41,2.92,4.13,2.17,2.74,3.09,2.46,3.27,1.36,1.0,1.7,1.09,1.05,2.06,2.09,2.06,4.96,2.92,1.25,1.7,2.79,3.01,1.99,2.38,1.78,1.97,2.19,1.36,3.62,2.12,3.12,3.25,4.0,2.12,1.0,2.0,1.25,2.25,2.88,3.88,3.0,3.12,1.5,2.0,2.0,2.25,4.0,3.38,3.62,2.75,2.25,2.62,4.12,1.5,2.12,4.0,4.0,3.12,2.88,1.5,4.12,2.0,2.0,2.0,3.25,1.62,1.5,3.62,3.62,2.25,1.0,1.88,2.0,2.75,2.12,3.12,3.25,2.0,3.75,3.25,"Active Listening, Speaking, Critical Thinking, Complex Problem Solving, Reading Comprehension, Monitoring, Social Perceptiveness, Writing, Judgment and Decision Making, Time Management","Medicine and Dentistry, Customer and Personal Service, Administration and Management, English Language, Biology, Education and Training, Psychology, Personnel and Human Resources, Computers and Electronics, Administrative","Problem Sensitivity, Near Vision, Oral Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Finger Dexterity, Written Comprehension, Arm-Hand Steadiness, Manual Dexterity"
Dietitians and Nutritionists,"Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research.",3.62,4.0,3.88,3.75,4.0,1.0,1.0,1.0,3.75,4.0,3.75,2.75,2.75,2.88,3.0,3.88,3.12,1.0,3.12,1.88,3.38,1.75,2.88,4.0,1.0,3.25,3.88,4.0,4.0,3.12,3.25,1.75,3.25,1.5,3.88,2.83,2.79,4.41,1.07,3.38,2.79,3.41,4.0,1.43,2.28,3.8,1.67,4.13,1.03,3.17,1.86,1.57,1.33,2.2,3.63,1.27,4.27,2.41,1.93,1.47,1.73,3.87,2.24,2.67,3.31,2.03,4.07,1.53,1.0,2.12,3.88,1.0,4.0,1.62,1.0,1.12,1.0,1.12,2.75,1.88,2.88,3.12,1.0,1.0,1.0,1.75,4.0,3.75,1.25,3.12,2.75,1.0,3.38,1.0,3.0,4.0,4.0,3.5,2.88,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,3.62,2.25,1.12,1.0,1.12,2.62,1.75,2.38,2.5,1.38,4.0,4.0,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Judgment and Decision Making, Writing, Monitoring, Service Orientation, Complex Problem Solving","Biology, Medicine and Dentistry, English Language, Therapy and Counseling, Customer and Personal Service, Psychology, Education and Training, Mathematics, Computers and Electronics, Chemistry","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Speech Clarity, Category Flexibility, Information Ordering"
Optometrists,"Diagnose, manage, and treat conditions and diseases of the human eye and visual system. Examine eyes and visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment. May prescribe therapeutic drugs to treat specific eye conditions.",3.12,4.12,3.38,3.38,4.12,1.0,1.0,1.0,3.25,3.38,3.12,2.12,2.12,3.12,3.0,3.25,3.0,2.25,2.12,2.12,3.25,1.88,2.5,4.12,1.0,3.75,3.25,3.88,4.0,3.0,3.0,1.88,3.25,2.0,4.0,3.5,3.24,4.52,1.14,2.9,2.67,3.19,4.4,1.52,3.29,3.57,2.3,3.9,1.24,1.0,1.76,1.29,1.29,3.19,3.62,1.9,4.81,3.19,1.76,3.29,2.05,3.52,3.0,3.1,2.43,2.33,3.55,1.33,3.12,2.0,3.75,3.12,4.0,2.38,1.0,1.12,1.12,1.25,3.25,3.62,3.88,3.12,1.0,1.0,1.0,2.0,4.0,3.88,3.0,3.0,2.38,2.25,4.0,1.0,2.88,4.0,4.12,2.88,3.12,1.0,4.12,2.0,2.0,1.75,3.25,1.0,1.0,3.75,3.75,2.75,1.0,1.0,1.88,3.0,2.0,3.12,3.0,2.0,4.0,3.88,"Reading Comprehension, Active Listening, Critical Thinking, Writing, Speaking, Social Perceptiveness, Science, Coordination, Complex Problem Solving, Judgment and Decision Making","Medicine and Dentistry, Biology, Customer and Personal Service, English Language, Mathematics, Education and Training, Therapy and Counseling, Psychology, Administration and Management, Economics and Accounting","Oral Expression, Problem Sensitivity, Oral Comprehension, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Near Vision, Written Expression, Information Ordering, Flexibility of Closure"
Pharmacists,"Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications.",3.62,4.0,3.62,3.38,3.88,1.0,1.25,1.0,3.38,3.75,3.12,2.38,2.75,3.38,3.25,3.88,2.88,1.5,2.62,2.25,2.88,1.5,2.62,4.0,1.0,3.38,3.62,3.62,4.0,3.0,3.0,1.62,3.62,1.75,3.88,2.58,3.3,3.95,1.09,4.11,2.74,3.37,4.16,1.35,1.66,3.34,1.8,4.16,1.06,1.15,1.57,1.45,1.13,2.58,4.49,1.28,4.64,2.57,1.54,1.83,2.64,3.71,2.08,2.08,2.4,2.74,2.9,1.44,2.88,2.25,3.88,2.12,3.88,1.88,1.12,1.38,1.12,2.12,3.0,3.12,2.88,3.12,1.0,1.88,1.25,1.62,3.88,3.75,3.0,3.25,3.0,2.12,4.0,1.0,3.25,4.12,4.25,2.62,3.12,1.0,4.0,1.25,1.25,1.12,3.12,1.0,1.0,3.75,3.75,2.88,1.25,1.88,2.0,3.0,2.25,3.0,2.25,1.75,4.12,3.88,"Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Monitoring, Judgment and Decision Making, Active Learning, Social Perceptiveness, Service Orientation","Medicine and Dentistry, Mathematics, Customer and Personal Service, English Language, Chemistry, Biology, Psychology, Computers and Electronics, Education and Training, Administrative","Oral Expression, Oral Comprehension, Written Comprehension, Problem Sensitivity, Near Vision, Written Expression, Deductive Reasoning, Inductive Reasoning, Category Flexibility, Information Ordering"
Physician Assistants,"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",3.88,4.0,3.88,3.25,4.12,1.0,1.12,1.0,3.12,4.0,3.12,2.12,2.25,3.0,3.0,3.88,3.12,1.0,2.62,2.25,3.25,1.88,2.38,4.12,1.0,3.62,4.0,4.0,4.0,3.12,3.25,1.88,3.25,2.0,4.0,2.61,2.92,4.81,1.16,3.47,2.97,3.54,4.16,1.49,1.73,3.97,1.69,4.62,1.11,1.08,1.86,1.57,1.41,2.89,3.41,1.7,5.0,2.5,2.36,2.31,1.56,4.57,3.19,1.57,3.61,2.57,4.5,1.51,3.0,2.0,3.38,2.25,4.12,2.0,1.0,2.0,2.12,2.0,3.0,3.0,3.25,3.0,1.0,2.0,2.0,2.25,4.12,4.0,2.88,3.0,2.88,2.25,3.88,1.0,2.88,4.12,4.0,2.88,3.0,1.0,4.12,1.0,1.88,1.5,2.88,1.0,1.0,4.0,4.0,2.88,1.75,2.0,2.12,2.88,2.88,3.0,2.88,1.12,4.0,4.0,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Social Perceptiveness, Service Orientation, Judgment and Decision Making, Active Learning, Monitoring","Medicine and Dentistry, Biology, English Language, Psychology, Therapy and Counseling, Customer and Personal Service, Education and Training, Sociology and Anthropology, Computers and Electronics, Chemistry","Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Comprehension, Oral Expression, Written Expression, Information Ordering, Speech Recognition, Speech Clarity"
Anesthesiologist Assistants,Assist anesthesiologists in the administration of anesthesia for surgical and non-surgical procedures. Monitor patient status and provide patient care during surgical treatment.,3.5,4.0,3.12,3.12,3.62,2.25,2.38,1.25,2.75,3.62,2.88,1.75,2.12,2.62,2.88,3.75,2.38,3.0,1.38,3.38,2.5,1.38,2.88,3.75,2.0,3.0,3.25,3.12,3.62,2.75,2.75,1.75,3.38,2.5,3.12,1.92,2.0,3.46,1.2,3.62,2.17,3.1,3.6,1.34,1.42,3.38,2.06,4.01,1.15,1.29,2.28,1.33,1.26,2.49,3.56,2.86,4.06,1.59,1.98,2.64,1.46,2.74,2.85,1.2,2.46,1.53,2.54,1.97,3.5,2.62,3.12,3.38,3.88,2.38,1.12,1.88,1.0,2.5,2.88,3.12,3.25,2.75,1.62,2.12,2.0,2.88,3.88,3.5,3.25,3.0,2.75,2.62,3.75,1.0,2.88,4.12,3.75,2.62,3.75,1.0,4.12,2.25,2.75,2.75,3.75,1.0,1.0,3.38,3.5,3.0,2.0,2.25,2.5,3.0,2.75,3.0,2.88,2.38,4.0,3.5,"Active Listening, Reading Comprehension, Monitoring, Speaking, Critical Thinking, Judgment and Decision Making, Active Learning, Operations Monitoring, Time Management, Service Orientation","Medicine and Dentistry, English Language, Chemistry, Customer and Personal Service, Mathematics, Biology, Education and Training, Computers and Electronics, Mechanical, Public Safety and Security","Oral Comprehension, Problem Sensitivity, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Oral Expression, Perceptual Speed, Selective Attention, Near Vision, Written Expression"
Podiatrists,Diagnose and treat diseases and deformities of the human foot.,4.0,4.0,3.75,3.38,4.0,1.0,2.25,1.0,3.0,3.88,3.25,2.25,2.25,3.0,2.88,3.88,2.62,2.12,2.62,2.25,2.88,1.5,2.38,4.0,1.0,3.5,3.25,3.88,4.0,3.12,3.12,2.25,3.0,2.0,3.88,3.77,3.15,3.77,1.15,3.37,2.44,3.8,4.62,1.97,3.22,4.12,2.26,4.6,1.0,1.01,1.18,1.23,1.12,2.64,2.76,2.41,4.97,3.32,1.73,2.25,2.54,3.37,2.4,2.91,2.6,1.72,3.21,1.13,3.0,1.88,3.62,2.88,4.25,2.0,1.0,1.38,1.38,1.62,2.88,3.12,3.62,3.25,1.0,1.38,1.38,2.0,4.12,3.5,3.12,2.88,3.0,2.75,3.88,1.0,2.88,4.0,4.0,3.0,3.0,1.0,4.12,1.62,1.88,1.75,3.0,1.0,1.0,4.0,4.0,3.12,1.0,1.5,2.12,2.88,2.12,2.88,3.12,1.88,4.12,4.12,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Writing, Monitoring, Social Perceptiveness, Judgment and Decision Making, Complex Problem Solving","Medicine and Dentistry, Customer and Personal Service, English Language, Education and Training, Computers and Electronics, Administration and Management, Biology, Chemistry, Psychology, Personnel and Human Resources","Deductive Reasoning, Written Comprehension, Written Expression, Problem Sensitivity, Inductive Reasoning, Oral Comprehension, Oral Expression, Speech Recognition, Speech Clarity, Near Vision"
Occupational Therapists,"Assess, plan, and organize rehabilitative programs that help build or restore vocational, homemaking, and daily living skills, as well as general independence, to persons with disabilities or developmental delays. Use therapeutic techniques, adapt the individual's environment, teach skills, and modify specific tasks that present barriers to the individual.",3.88,4.12,3.25,3.75,4.0,1.0,1.25,1.0,4.0,4.0,3.88,2.25,2.12,3.0,2.0,4.12,3.0,1.62,3.12,2.12,3.0,1.75,2.12,4.0,1.0,2.75,4.12,4.0,4.0,3.12,3.12,1.88,3.75,1.88,4.0,2.82,2.82,3.45,1.32,1.68,2.5,2.27,4.27,1.73,1.68,3.86,1.77,4.1,1.59,1.27,2.09,1.18,1.32,2.24,2.41,1.82,4.23,2.14,2.82,2.18,1.38,4.55,2.36,2.14,3.24,1.64,4.68,1.91,2.75,2.75,3.25,2.0,4.0,2.0,1.0,2.0,1.5,2.12,3.0,3.0,2.88,3.75,1.0,2.12,2.12,2.75,4.0,3.88,2.38,2.0,2.38,2.62,3.38,1.0,2.5,3.88,4.12,3.75,2.75,1.0,4.0,1.0,1.0,1.62,3.25,1.0,1.12,3.88,3.88,2.62,1.38,2.12,2.75,2.88,2.75,2.5,2.88,1.25,3.88,4.0,"Active Listening, Monitoring, Service Orientation, Reading Comprehension, Writing, Speaking, Critical Thinking, Social Perceptiveness, Instructing, Judgment and Decision Making","Therapy and Counseling, Psychology, Customer and Personal Service, Medicine and Dentistry, English Language, Education and Training, Biology, Sociology and Anthropology, Administration and Management, Administrative","Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Oral Comprehension, Written Comprehension, Information Ordering, Speech Recognition, Speech Clarity"
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.",3.75,4.0,3.5,3.0,3.5,1.0,1.12,1.0,3.88,3.38,4.0,1.12,1.62,2.75,2.12,3.75,3.0,2.0,1.38,2.25,3.12,1.38,1.88,3.88,1.0,2.0,3.88,3.88,4.0,3.0,3.0,2.0,3.0,1.62,3.75,2.22,2.48,1.48,1.22,1.17,2.23,2.74,3.61,1.3,1.39,4.17,1.61,4.26,1.17,1.3,1.96,2.61,1.43,2.61,2.0,1.43,2.52,1.52,2.17,1.22,1.26,3.83,3.39,1.52,3.0,1.74,3.52,3.7,2.5,2.25,3.38,2.0,3.62,2.0,1.0,2.0,1.25,1.88,3.12,2.0,2.88,3.38,1.88,2.25,2.12,2.12,3.38,3.38,1.38,2.5,2.62,2.5,3.12,1.75,2.0,4.0,4.12,3.25,2.88,1.5,4.0,1.62,1.62,1.62,3.0,1.5,2.12,3.75,3.62,2.62,1.75,1.88,2.0,2.62,2.12,2.62,2.75,1.25,4.0,3.88,"Active Listening, Speaking, Learning Strategies, Reading Comprehension, Social Perceptiveness, Instructing, Service Orientation, Writing, Active Learning, Monitoring","English Language, Education and Training, Psychology, Transportation, Customer and Personal Service, Therapy and Counseling, Public Safety and Security, Sociology and Anthropology, Computers and Electronics, Geography","Oral Expression, Oral Comprehension, Written Comprehension, Problem Sensitivity, Written Expression, Speech Clarity, Deductive Reasoning, Speech Recognition, Fluency of Ideas, Inductive Reasoning"
Physical Therapists,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",3.12,4.0,3.38,3.25,4.0,1.38,1.75,1.12,3.38,3.75,3.12,2.0,2.0,2.88,2.12,3.88,3.0,2.0,2.75,2.25,3.0,1.62,2.0,4.0,1.38,2.62,4.0,4.0,4.0,3.12,3.12,1.88,3.62,2.0,3.88,3.2,3.08,3.7,1.37,2.42,2.64,2.77,4.61,1.34,2.36,3.98,1.66,3.98,1.31,1.07,1.91,1.38,1.06,2.78,2.65,2.09,4.57,2.87,2.04,3.2,1.67,4.11,2.72,2.62,3.12,1.93,4.59,1.52,3.25,2.12,3.0,2.75,3.88,2.0,1.0,2.75,1.5,2.88,3.0,3.12,2.88,3.25,1.0,2.5,2.12,2.0,3.88,3.88,3.0,2.62,2.75,2.88,3.25,1.0,2.75,4.0,4.0,3.0,2.88,1.0,3.88,2.0,2.0,1.62,3.12,1.0,1.12,3.75,3.75,2.75,1.88,2.62,3.12,2.88,3.12,2.38,2.88,2.12,4.0,3.88,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Service Orientation, Writing, Monitoring, Judgment and Decision Making, Time Management","Customer and Personal Service, Therapy and Counseling, Medicine and Dentistry, Psychology, Education and Training, English Language, Biology, Administration and Management, Physics, Sociology and Anthropology","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Speech Recognition, Speech Clarity"
Radiation Therapists,"Provide radiation therapy to patients as prescribed by a radiation oncologist according to established practices and standards. Duties may include reviewing prescription and diagnosis; acting as liaison with physician and supportive care personnel; preparing equipment, such as immobilization, treatment, and protection devices; and maintaining records, reports, and files. May assist in dosimetry procedures and tumor localization.",3.0,3.75,3.12,3.25,3.5,2.75,2.62,1.0,3.0,2.88,2.88,2.0,2.12,2.88,2.75,3.25,2.62,3.12,2.62,3.38,2.62,1.75,2.88,3.75,2.25,2.75,3.25,3.38,3.25,2.62,2.62,1.88,3.12,2.88,3.12,2.84,3.08,3.34,1.22,2.26,1.99,3.51,4.56,1.61,1.61,3.52,2.32,4.04,1.09,1.0,1.82,1.25,1.1,2.12,3.62,2.48,3.95,2.3,2.14,3.77,1.53,3.35,2.6,1.38,2.36,2.13,3.36,1.79,3.38,2.25,3.12,3.12,3.5,2.75,1.0,2.0,1.0,2.25,3.12,3.0,3.0,3.0,1.75,2.12,2.0,2.25,3.25,3.62,3.0,2.75,2.5,3.0,3.38,1.88,2.75,4.0,3.88,2.25,2.88,1.75,3.88,2.62,2.88,2.38,3.12,2.0,1.88,3.38,3.25,2.88,2.0,2.12,2.62,2.88,2.25,2.88,3.0,2.0,3.75,3.62,"Reading Comprehension, Active Listening, Critical Thinking, Social Perceptiveness, Operations Monitoring, Speaking, Monitoring, Coordination, Service Orientation, Writing","Customer and Personal Service, English Language, Medicine and Dentistry, Physics, Mathematics, Education and Training, Computers and Electronics, Therapy and Counseling, Psychology, Biology","Oral Comprehension, Oral Expression, Problem Sensitivity, Written Comprehension, Written Expression, Information Ordering, Deductive Reasoning, Arm-Hand Steadiness, Near Vision, Speech Clarity"
Recreational Therapists,"Plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions. Activities include sports, trips, dramatics, social activities, and crafts. May assess a patient condition and recommend appropriate recreational activity.",3.38,4.0,3.5,4.0,3.88,1.0,1.38,1.0,3.88,3.12,3.38,1.88,2.0,2.75,2.0,3.38,3.12,1.75,2.75,1.75,3.38,1.5,1.88,3.88,1.0,2.0,4.12,4.0,4.0,3.0,3.0,1.88,3.25,1.5,3.88,3.37,2.89,2.21,1.54,1.58,2.53,2.84,4.42,1.73,2.24,4.16,1.92,4.08,2.55,1.73,2.03,1.92,1.86,2.68,2.11,1.66,3.16,2.84,2.55,1.58,2.05,4.55,3.0,2.71,3.46,2.03,4.53,2.47,2.75,2.25,3.12,2.0,3.88,2.0,1.38,2.0,2.0,2.12,3.0,2.62,3.0,3.12,1.5,2.75,1.88,1.88,3.75,3.62,2.38,2.0,2.12,2.75,3.12,1.5,2.0,4.0,4.0,3.25,2.75,1.88,3.88,1.62,1.88,2.0,3.0,1.5,1.88,4.0,3.75,2.0,2.0,2.5,2.5,3.0,2.75,1.88,2.5,1.62,3.88,3.88,"Service Orientation, Active Listening, Speaking, Social Perceptiveness, Coordination, Reading Comprehension, Writing, Critical Thinking, Instructing, Complex Problem Solving","Psychology, Therapy and Counseling, Customer and Personal Service, Education and Training, English Language, Sociology and Anthropology, Administration and Management, Medicine and Dentistry, Public Safety and Security, Administrative","Oral Comprehension, Oral Expression, Speech Clarity, Written Comprehension, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Speech Recognition, Information Ordering"
Respiratory Therapists,"Assess, treat, and care for patients with breathing disorders. Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians. Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment.",3.62,3.88,3.38,3.38,3.88,2.25,2.38,1.0,3.25,3.38,3.12,1.88,2.0,2.88,2.75,3.88,2.88,2.88,2.12,3.0,2.88,1.5,3.0,3.62,2.25,3.0,3.62,3.62,3.75,2.88,2.88,2.12,3.12,2.38,3.12,2.17,2.31,3.25,1.29,3.1,2.33,3.23,4.33,1.2,1.56,3.71,2.18,3.9,1.06,1.06,1.99,1.32,1.21,2.73,3.07,2.33,4.29,2.05,2.34,2.88,1.61,3.42,2.56,1.51,2.61,1.95,2.92,1.46,3.0,2.75,3.0,3.0,3.88,2.62,1.0,2.12,1.0,2.88,3.0,3.12,3.0,2.88,1.62,2.12,2.0,2.88,4.0,3.88,3.12,2.88,2.62,3.0,3.75,1.62,2.88,3.88,4.0,2.88,3.25,1.88,4.0,2.0,2.12,2.12,3.12,1.75,1.5,3.5,3.25,2.38,2.0,2.38,2.25,2.88,2.75,2.88,2.38,2.12,3.75,3.5,"Active Listening, Critical Thinking, Monitoring, Speaking, Reading Comprehension, Active Learning, Social Perceptiveness, Service Orientation, Coordination, Complex Problem Solving","Customer and Personal Service, Medicine and Dentistry, English Language, Education and Training, Psychology, Biology, Computers and Electronics, Chemistry, Mathematics, Therapy and Counseling","Oral Expression, Problem Sensitivity, Inductive Reasoning, Oral Comprehension, Deductive Reasoning, Information Ordering, Written Comprehension, Near Vision, Written Expression, Speech Clarity"
Speech-Language Pathologists,"Assess and treat persons with speech, language, voice, and fluency disorders. May select alternative communication systems and teach their use. May perform research related to speech and language problems.",3.88,4.12,3.88,3.25,4.12,1.0,1.5,1.0,3.88,3.75,4.0,1.0,1.12,2.38,2.0,3.88,2.88,1.62,3.0,2.12,2.88,1.62,2.25,4.12,1.0,2.88,3.75,4.12,4.0,3.12,3.12,1.88,3.25,1.62,4.0,2.55,3.57,2.6,1.0,1.41,2.99,2.78,4.02,1.25,1.56,4.17,1.37,4.89,1.46,1.29,2.12,1.72,1.33,2.39,2.57,1.24,3.15,1.91,1.9,1.41,1.14,4.02,2.91,1.33,3.23,1.84,3.95,1.41,2.0,3.12,3.75,1.12,4.0,1.38,1.0,1.0,1.0,1.38,2.5,2.12,3.25,3.75,1.0,1.0,1.0,3.62,4.0,3.75,1.62,2.75,2.75,1.12,3.62,1.0,2.38,4.5,4.25,3.25,3.12,1.0,4.0,1.0,1.0,1.12,3.0,1.38,1.0,4.12,4.25,3.12,1.0,1.12,1.25,2.88,2.0,2.0,2.5,1.88,4.12,4.25,"Reading Comprehension, Active Listening, Critical Thinking, Social Perceptiveness, Writing, Speaking, Learning Strategies, Active Learning, Monitoring, Instructing","English Language, Education and Training, Customer and Personal Service, Psychology, Therapy and Counseling, Administrative, Sociology and Anthropology, Medicine and Dentistry, Communications and Media, Public Safety and Security","Oral Comprehension, Oral Expression, Written Expression, Speech Recognition, Written Comprehension, Speech Clarity, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Fluency of Ideas"
Exercise Physiologists,"Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility.",3.25,4.0,3.62,3.12,4.0,1.25,1.75,1.25,4.0,3.75,3.25,1.5,1.62,2.88,2.88,3.75,3.0,2.0,2.25,2.12,3.0,1.88,2.12,4.0,1.12,2.88,3.75,3.75,4.0,3.12,3.12,2.0,3.0,2.0,3.88,2.73,3.0,3.55,1.09,2.14,2.36,2.67,4.36,1.59,1.77,3.82,1.5,3.68,1.09,1.27,1.41,1.23,1.14,1.91,3.0,1.73,3.91,2.0,1.64,2.18,1.36,3.41,2.59,2.27,2.36,2.0,3.82,1.36,2.88,2.25,3.5,2.12,4.0,1.88,1.62,2.12,1.62,2.12,3.12,2.38,3.0,3.12,1.0,2.12,2.0,2.12,4.0,3.62,2.12,2.88,2.62,2.88,3.38,1.0,2.62,4.0,4.12,3.12,2.75,1.0,4.12,2.0,1.88,1.62,3.0,1.0,1.0,4.0,4.0,2.25,1.88,2.62,2.25,2.75,3.0,2.12,2.75,1.88,4.0,3.88,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Instructing, Writing, Monitoring, Social Perceptiveness, Service Orientation, Judgment and Decision Making","Customer and Personal Service, Medicine and Dentistry, Therapy and Counseling, Education and Training, English Language, Biology, Psychology, Administrative, Mathematics, Administration and Management","Oral Expression, Problem Sensitivity, Oral Comprehension, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Speech Recognition, Speech Clarity, Written Expression, Information Ordering"
